round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
106,4,probing,1.0505135840066941,6137,ExitStatus.FEASIBLE,10,True,5,CMDDO,NO,SAC3,False,False,TableHybrid,Tries,True,RunRobin,FrbaOnDom
107,5,probing,0.683387707991642,6038,ExitStatus.FEASIBLE,1000,False,1,STR0,NO,BT,True,True,Matrix3D,Bits,False,Rand,PickOnDom
108,6,probing,1.0221212079923134,,ExitStatus.UNKNOWN,1,True,2,STR1,RST,BT,True,True,Matrix2D,MDD,True,Median,Impact
109,7,probing,1.0356853339908412,6314,ExitStatus.FEASIBLE,10,False,5,CMDDS,RST,SAC3,True,False,Table,TableHybrid,False,Rand,RunRobin
110,8,probing,1.0353334999963408,6109,ExitStatus.FEASIBLE,10,True,10,STR2,NO,SAC3,False,True,Matrix2D,Table,True,Rand,Lexico
111,9,probing,1.002469500002917,6470,ExitStatus.FEASIBLE,10,False,1,VA,NO,BT,False,True,Matrix2D,Table,True,Vals,FrbaOnDom
112,10,probing,1.0196853750094306,,ExitStatus.UNKNOWN,100,True,5,V,RST,BT,True,True,Tries,Matrix2D,True,RunRobin,Impact
113,11,probing,1.0197029169939924,,ExitStatus.UNKNOWN,100,True,10,STR0,NO,AC,False,False,Tries,Tries,False,Conflicts,RunRobin
114,12,probing,1.0488066249963595,5534,ExitStatus.FEASIBLE,10,False,10,STR2,NO,AP,False,False,TableHybrid,Tries,False,Rand,Memory
115,13,probing,1.0447488329955377,6047,ExitStatus.FEASIBLE,1000,False,10,STR2N,NO,AP,False,False,Table,MDD,True,Vals,WdegOnDom
116,14,probing,0.810347582999384,13572,ExitStatus.FEASIBLE,100,True,10,CMDDO,NO,GT,False,True,Tries,Bits,False,RunRobin,Wdeg
117,15,probing,1.03488858298806,,ExitStatus.UNKNOWN,10,False,10,STR1N,RST,BT,False,False,TableHybrid,MDD,False,Last,FrbaOnDom
118,16,probing,1.0222686670022085,,ExitStatus.UNKNOWN,100,True,5,CMDDS,NO,AC,True,False,Matrix2D,Matrix2D,False,Conflicts,Lexico
119,17,probing,1.0469845829939004,5617,ExitStatus.FEASIBLE,10,True,1,STR2,NO,AP,True,False,TableHybrid,Table,False,RunRobin,WdegOnDom
